timestamp,y,y_next,u,setpoint,T_out,solar,occupancy,occupancy_actual,unexpected_occupancy,residual_target,u_prev,residual_prev,residual
2025-01-01 00:00:00+00:00,21.0,20.312286158182843,0.0,21.0,-1.316761336810035,17.677651586012214,0.0,0.0,0.0,-0.2015381152209983,0.0,0.0,0.0
2025-01-01 00:15:00+00:00,20.312286158182843,19.633683775705414,0.2699556678757665,21.0,-0.80204067263289,0.0,0.0,0.0,0.0,-0.22425971116654608,0.2699556678757665,-0.2015381152209983,-0.2015381152209983
2025-01-01 00:30:00+00:00,19.633683775705414,19.0638946739331,0.2699556678757665,21.0,-0.1371510646647317,5.78938658936505,0.0,0.0,0.0,-0.17016942004516622,0.2699556678757665,-0.22425971116654608,-0.22425971116654608
2025-01-01 00:45:00+00:00,19.0638946739331,18.471099796333107,0.2699556678757665,21.0,0.21165948029107368,0.0,0.0,0.0,0.0,-0.2232806426831253,0.2699556678757665,-0.17016942004516622,-0.17016942004516622
2025-01-01 01:00:00+00:00,18.471099796333107,17.970829599978,0.2699556678757665,21.0,0.18251488422188233,0.0,0.0,0.0,0.0,-0.12839860384119817,0.2699556678757665,-0.2232806426831253,-0.2232806426831253
2025-01-01 01:15:00+00:00,17.970829599978,17.44122702609349,0.25116027335220903,21.0,-0.08341337752920137,11.724099316969653,0.0,0.0,0.0,-0.1753118784059815,0.25116027335220903,-0.12839860384119817,-0.12839860384119817
2025-01-01 01:30:00+00:00,17.44122702609349,16.97907583249975,0.25116027335220903,21.0,0.571575153064219,0.8948303110126363,0.0,0.0,0.0,-0.14416071277866394,0.25116027335220903,-0.1753118784059815,-0.1753118784059815
2025-01-01 01:45:00+00:00,16.97907583249975,16.61684713416835,0.25116027335220903,21.0,0.8231741980193329,28.469946769440256,1.0,1.0,0.0,-0.10418518880572236,0.25116027335220903,-0.14416071277866394,-0.14416071277866394
2025-01-01 02:00:00+00:00,16.61684713416835,16.609738654706387,0.25116027335220903,21.0,0.45367151862799837,17.728007219869575,0.0,0.0,0.0,-0.07941279692586889,0.25116027335220903,-0.10418518880572236,-0.10418518880572236
2025-01-01 02:15:00+00:00,16.609738654706387,16.654235240156318,0.5321019181054142,21.0,0.7699682257596205,29.634410389191977,1.0,1.0,0.0,-0.06136522888822782,0.5321019181054142,-0.07941279692586889,-0.07941279692586889
2025-01-01 02:30:00+00:00,16.654235240156318,16.632310698292002,0.5321019181054142,21.0,1.1397395914583786,0.0,1.0,1.0,0.0,-0.11775835266990953,0.5321019181054142,-0.06136522888822782,-0.06136522888822782
2025-01-01 02:45:00+00:00,16.632310698292002,16.64245831789056,0.5321019181054142,21.0,1.5134962132113636,0.0,0.0,0.0,0.0,-0.08802423484268473,0.5321019181054142,-0.11775835266990953,-0.11775835266990953
2025-01-01 03:00:00+00:00,16.64245831789056,17.33341460124892,0.5321019181054142,21.0,1.2582620786475482,21.1447370771884,0.0,0.0,0.0,0.002005089522075565,0.5321019181054142,-0.08802423484268473,-0.08802423484268473
2025-01-01 03:15:00+00:00,17.33341460124892,17.95619476336497,1.0,21.0,0.7878300626701545,0.0,0.0,0.0,0.0,-0.006760417687242892,1.0,0.002005089522075565,0.002005089522075565
2025-01-01 03:30:00+00:00,17.95619476336497,18.497200808689442,1.0,21.0,1.3209912088542972,3.008397555016952,0.0,0.0,0.0,-0.08743011954764057,1.0,-0.006760417687242892,-0.006760417687242892
2025-01-01 03:45:00+00:00,18.497200808689442,19.072471122288306,1.0,21.0,1.8208831623684947,4.642382342438375,0.0,0.0,0.0,-0.052849561420931224,1.0,-0.08743011954764057,-0.08743011954764057
2025-01-01 04:00:00+00:00,19.072471122288306,18.744102043998822,1.0,21.0,1.487965942184092,0.0,1.0,1.0,0.0,-0.14450182329874295,1.0,-0.052849561420931224,-0.052849561420931224
2025-01-01 04:15:00+00:00,18.744102043998822,18.424835546690076,0.37044135141053525,21.0,1.4605348792487785,0.0,0.0,0.0,0.0,-0.13418441789378832,0.37044135141053525,-0.14450182329874295,-0.14450182329874295
2025-01-01 04:30:00+00:00,18.424835546690076,18.112683518545964,0.37044135141053525,21.0,1.4093267860627208,6.012891989715472,0.0,0.0,0.0,-0.14163180787604546,0.37044135141053525,-0.13418441789378832,-0.13418441789378832
2025-01-01 04:45:00+00:00,18.112683518545964,17.786315560897005,0.37044135141053525,21.0,1.5034246052983884,0.0,0.0,0.0,0.0,-0.1665724376653408,0.37044135141053525,-0.14163180787604546,-0.14163180787604546
2025-01-01 05:00:00+00:00,17.786315560897005,17.065729727586454,0.37044135141053525,21.0,1.5593666643698112,0.0,1.0,1.0,0.0,-0.19875337131045256,0.37044135141053525,-0.1665724376653408,-0.1665724376653408
2025-01-01 05:15:00+00:00,17.065729727586454,16.388199840985042,0.059342497295738705,21.0,1.7803451768151812,10.850352319032208,0.0,0.0,0.0,-0.1866438518064406,0.059342497295738705,-0.19875337131045256,-0.19875337131045256
2025-01-01 05:30:00+00:00,16.388199840985042,15.618755524745739,0.059342497295738705,21.0,1.1130062833644885,0.0,0.0,0.0,0.0,-0.2708026794482059,0.059342497295738705,-0.1866438518064406,-0.1866438518064406
2025-01-01 05:45:00+00:00,15.618755524745739,14.980671556112362,0.059342497295738705,21.0,1.0667530694987657,3.656459730526654,1.0,1.0,0.0,-0.18180434297918247,0.059342497295738705,-0.2708026794482059,-0.2708026794482059
2025-01-01 06:00:00+00:00,14.980671556112362,14.518864224515209,0.059342497295738705,21.0,0.9669159707215432,0.0,0.0,0.0,0.0,-0.16192394408411204,0.059342497295738705,-0.18180434297918247,-0.18180434297918247
2025-01-01 06:15:00+00:00,14.518864224515209,14.111226022624733,0.1805059575512899,21.0,1.5341122576731185,0.0,0.0,0.0,0.0,-0.1463424500730106,0.1805059575512899,-0.16192394408411204,-0.16192394408411204
2025-01-01 06:30:00+00:00,14.111226022624733,13.750781237015941,0.1805059575512899,21.0,1.3125109013606946,6.563936981022449,0.0,0.0,0.0,-0.11104836823627018,0.1805059575512899,-0.1463424500730106,-0.1463424500730106
2025-01-01 06:45:00+00:00,13.750781237015941,13.376598339222047,0.1805059575512899,21.0,0.9137940655064115,13.889557718186666,1.0,1.0,0.0,-0.1413454940900376,0.1805059575512899,-0.11104836823627018,-0.11104836823627018
2025-01-01 07:00:00+00:00,13.376598339222047,14.28103467771111,0.1805059575512899,22.5,1.4908027579937806,28.292082811733657,0.0,0.0,0.0,0.07893461067632224,0.1805059575512899,-0.1413454940900376,-0.1413454940900376
2025-01-01 07:15:00+00:00,14.28103467771111,15.133106681582683,1.0,22.5,1.3421843335948196,31.56001365734448,0.0,0.0,0.0,0.06360888153292343,1.0,0.07893461067632224,0.07893461067632224
2025-01-01 07:30:00+00:00,15.133106681582683,16.045939370425153,1.0,22.5,1.0695641013803034,32.28181658704389,5.0,5.0,0.0,0.10350417315977545,1.0,0.06360888153292343,0.06360888153292343
